MIMAT0000646	MIMAT0002809	MIMAT0000617	MIMAT0000266	MIMAT0000264	MIMAT0000263	MIMAT0000261	MIMAT0005951	MIMAT0000278	MIMAT0000270	MIMAT0000244	MIMAT0000245	MIMAT0004604	MIMAT0000243	MIMAT0004600	MIMAT0000255	MIMAT0000256	MIMAT0004614	MIMAT0000253	MIMAT0000254	MIMAT0000250	MIMAT0000259	MIMAT0000257	MIMAT0000222	MIMAT0000227	MIMAT0002888	MIMAT0000231	MIMAT0000232	MIMAT0000681	MIMAT0000689	MIMAT0000693	MIMAT0002871	MIMAT0000692	MIMAT0004585	MIMAT0001080	MIMAT0004597	MIMAT0004598	MIMAT0004563	MIMAT0003239	MIMAT0004558	MIMAT0022834	MIMAT0001631	MIMAT0001635	MIMAT0000318	MIMAT0000763	MIMAT0001620	MIMAT0000757	MIMAT0000754	MIMAT0000753	MIMAT0000728	MIMAT0000732	MIMAT0000733	MIMAT0000731	MIMAT0004703	MIMAT0003389	MIMAT0004682	MIMAT0004688	MIMAT0004672	MIMAT0000280	MIMAT0000703	MIMAT0000710	MIMAT0003393	MIMAT0000420	MIMAT0000425	MIMAT0000423	MIMAT0000432	MIMAT0000437	MIMAT0000438	MIMAT0000435	MIMAT0000434	MIMAT0000419	MIMAT0000418	MIMAT0000415	MIMAT0000414	MIMAT0000460	MIMAT0000461	MIMAT0000443	MIMAT0000440	MIMAT0000441	MIMAT0004808	MIMAT0000446	MIMAT0000447	MIMAT0000444	MIMAT0000445	MIMAT0000451	MIMAT0000456	MIMAT0002177	MIMAT0004797	MIMAT0004766	MIMAT0000510	MIMAT0004502	MIMAT0000101	MIMAT0000100	MIMAT0000088	MIMAT0000086	MIMAT0000087	MIMAT0000084	MIMAT0000082	MIMAT0000083	MIMAT0000080	MIMAT0000081	MIMAT0000099	MIMAT0000097	MIMAT0000098	MIMAT0000093	MIMAT0000092	MIMAT0000069	MIMAT0000066	MIMAT0000067	MIMAT0000064	MIMAT0000065	MIMAT0000062	MIMAT0000063	MIMAT0000077	MIMAT0000078	MIMAT0000075	MIMAT0000076	MIMAT0000071	MIMAT0000070	MIMAT0004484	MIMAT0004494	MIMAT0002819	MIMAT0000267	MIMAT0000226	MIMAT0000682	MIMAT0000680	MIMAT0001536	MIMAT0000759	MIMAT0000424	MIMAT0000417	MIMAT0001340	MIMAT0001341	MIMAT0004810	MIMAT0004784	MIMAT0000068	MIMAT0000074	MIMAT0022727
ENSG00000155313	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0
ENSG00000280056	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0
ENSG00000132432	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSG00000154556	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000134588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0
ENSG00000280890	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0
ENSG00000124602	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0
ENSG00000154310	0	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
ENSG00000277260	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0
ENSG00000205090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000101842	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0
ENSG00000205309	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
ENSG00000138382	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSG00000223765	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ENSG00000133422	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0
ENSG00000143590	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0
ENSG00000132429	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0
ENSG00000276744	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0
ENSG00000087510	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0
ENSG00000261720	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0
ENSG00000170322	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0
ENSG00000167685	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0
ENSG00000116685	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0
ENSG00000153233	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0
ENSG00000231986	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0
